,music,hastag_data,author_follower,author_heart,play
450,sonido original,antigaptek,67600,2400000,17300
451,Canon in D Keroncong Version,antigaptek,536900,8100000,720900
452,The Big Day,antigaptek,282700,2100000,18000
453,Timber Lane,antigaptek,976100,18900000,864400
454,Monkeys Spinning Monkeys,antigaptek,493800,15300000,273000
455,THIS MOMENT WITH YOU,antigaptek,102400,876100,32300
456,original sound - ilhm,antigaptek,501500,15300000,35100
457,sonido original,antigaptek,67600,2400000,40400
458,Sesange Sori Jillo I Love You (Making Lover),antigaptek,340600,9900000,630000
459,Only Me Remix,antigaptek,144100,3200000,4859
460,Buttercup,antigaptek,47500,496600,4647
461,Cartoon-style piano solo jazz(853970),antigaptek,19300,321300,15100
462,original sound - iHome Apple Store,antigaptek,101900,1400000,236300
463,FEEL THE GROOVE,antigaptek,190100,4700000,67200
464,LALISA,antigaptek,327900,9800000,10400
465,Piano Sleep LoFi Slow Midnight(822103),antigaptek,340600,9900000,20400
466,Dj Jang Ganggu Viral Tiktok,antigaptek,1000000,10400000,3100000
467,original sound - DPJ Indonesia,antigaptek,43500,349600,2400000
468,suara asli - PapaLouise,antigaptek,644100,10100000,2500000
469,suara asli - Gomez or Gojek,antigaptek,5051,677400,1100000
470,suara asli - Farid hatami,antigaptek,900400,14200000,3500000
471,suara asli - luki paleka 99,antigaptek,20900,425300,889500
472,original sound - Irving Tan,antigaptek,310300,6800000,1600000
473,original sound,case,553500,10300000,29700000
474,original sound,case,1200000,41900000,25800000
475,UNDERWATER WONDERSCAPES (MASTER),case,4900000,61000000,19600000
476,Monster Mash,case,150300,4300000,28100000
477,Treat Others How You Want To Be Treated,case,2000000,53500000,15500000
478,TWINNEM,case,98400,3200000,26700000
479,Renee,case,243300,6200000,11800000
480,sonido original,case,779900,10700000,19800000
481,original sound,case,1200000,41900000,16100000
482,FML,case,113500,2600000,13200000
483,Wolfgang Dance,casecantik,109500,2200000,95800
484,Beta Janji Beta Jaga,casecantik,109500,2200000,11600
485,Bilang Pa Mama Mantu Remix,casecantik,109500,2200000,18200
486,LOCA LOCA,casecantik,109500,2200000,19200
487,Wolfgang Dance,casecantik,109500,2200000,9219
488,LOCA LOCA,casecantik,109500,2200000,6972
489,Andai aku jadi kaya,casecantik,109500,2200000,8035
490,Goyang Kepanasan,casecantik,233,1075,1122
491,Jalan Pargoy,casecantik,109500,2200000,2963
492,farhatun cantik,casecantik,2977,8046,1614
493,DN  Remix,viralditiktok,1800000,14200000,115400
494,Chosen,viralditiktok,1500000,21900000,83200
495,Chosen,viralditiktok,3400000,25900000,469600
496,Only Me Remix,viralditiktok,1800000,14200000,126800
497,Monkeys Spinning Monkeys,viralditiktok,6400000,144200000,207800
498,original sound,viralditiktok,1100000,22000000,647100
499,suara asli - ᴀᴅɪᴛɪᴀ,viralditiktok,1800000,108200000,1300000
500,Yamet Kudasi Cover,viralditiktok,3600000,43700000,3600000
501,suara asli - Deny,viralditiktok,4300000,87000000,10500000
502,Wolfgang Dance,viralditiktok,2800000,76900000,1400000
503,Mabok Janda Remix,viralditiktok,1800000,108200000,362600
504,Squid Game - Green Light Red Light,viralditiktok,1500000,21900000,61600
505,original sound,viralditiktok,1400000,8700000,75500
506,Dinda,viralditiktok,4300000,87000000,2100000
507,Singkong & Keju Cover,viralditiktok,1800000,14200000,160800
508,DINDA RMX,viralditiktok,2000000,80700000,605900
509,On The Floor,viralditiktok,7300000,61100000,887100
510,Yamet Kudasi Cover,viralditiktok,3300000,35700000,377200
511,Dinda Cover,viralditiktok,1400000,82300000,258700
512,original sound - akadun,viralditiktok,1400000,25900000,600000
513,Singkong & Keju Cover,viralditiktok,1800000,37400000,1600000
514,Remix Tonight,viralditiktok,3600000,43700000,179200
515,Dinda,viralditiktok,3600000,43700000,139400
516,Remix Tonight,viralditiktok,1500000,21900000,67700
517,Remix Tonight,viralditiktok,1500000,9300000,56200
518,Remix Tonight,viralditiktok,7300000,61100000,1600000
519,kanda,viralditiktok,1400000,25900000,334800
520,It's You Remix,viralditiktok,3600000,43700000,355900
521,Little Mix - Hair,viralditiktok,4100000,32100000,78500
522,DJ Lala MP Club,viralditiktok,4900000,23100000,247200
523,Little Mix - Hair,viralditiktok,1800000,14200000,172900
524,Yamet Kudasi,viralditiktok,4900000,23100000,407100
525,Bombastic,viralditiktok,8500000,104600000,2000000
526,DJ Lala MP Club,viralditiktok,1900000,47500000,169900
527,DJ Lala MP Club,viralditiktok,7300000,61100000,718500
528,Bombastic,viralditiktok,6400000,144200000,760800
529,DJ Lala MP Club,viralditiktok,1800000,108200000,1000000
530,Bombastic,viralditiktok,1500000,21900000,66400
531,Hot N Cold,viralditiktok,1500000,9300000,51800
532,Hello Bitches,viralditiktok,1800000,14200000,125300
533,Bombastic,viralditiktok,3500000,78100000,3200000
534,Hello Bitches,viralditiktok,2200000,52200000,134500
535,why tf did this blow up huh,viralditiktok,3200000,29600000,228600
536,BANJAR KERAS. part2,viralditiktok,3000000,50100000,2500000
537,Hello Bitches,viralditiktok,4100000,32100000,130300
538,Wali Yank by Iyuz misterius,viralditiktok,2100000,56900000,501600
539,Hello Bitches,viralditiktok,1000000,77600000,1100000
540,original sound,viralditiktok,2200000,12900000,262200
541,Wali Yank by Iyuz misterius,viralditiktok,1500000,21900000,136900
542,Wali Yank by Iyuz misterius,viralditiktok,1800000,14200000,138300
543,sofia xyvbn,viralditiktok,3000000,142100000,924200
544,Wildest Dreams,viralditiktok,1100000,24800000,125500
545,You Can Do It,viralditiktok,3300000,35700000,498200
546,Beta Janji Beta Jaga,viralditiktok,1400000,25900000,199900
547,original sound - MeuthiaZRizki 🇲🇨🤑,viralditiktok,1500000,16000000,164600
548,You Can Do It,viralditiktok,3600000,43700000,136600
549,suara asli - jiminshi🖤,viralditiktok,1500000,16000000,94000
550,It's You Remix,viralditiktok,1100000,22000000,1300000
551,bunyi asal - user184180606470,viralditiktok,2700000,21900000,326700
552,DAIJOBU DESU DATTEKIMI YOAIMO,viralditiktok,53600,11800000,176000
553,It's You Remix,viralditiktok,1800000,14200000,407300
554,Yamet Kudasi,viralditiktok,1000000,77600000,148600
555,original sound,viralditiktok,448300,15800000,293500
556,original sound - Fadil Jaidi,viralditiktok,1900000,14900000,440300
557,Goyang Ababil,viralditiktok,1500000,21900000,94400
558,ameliahh versi sloww,viralditiktok,3300000,121000000,3700000
559,BANJAR KERAS. part2,viralditiktok,1600000,35800000,165400
560,BANJAR KERAS. part2,viralditiktok,1800000,14200000,226800
561,BANJAR KERAS. part2,viralditiktok,448300,15800000,786400
562,BANJAR KERAS. part2,viralditiktok,13300000,290600000,2100000
563,BANJAR KERAS. part2,viralditiktok,7000000,321300000,668400
564,Goyang Ababil,viralditiktok,4900000,23100000,272300
565,Cintaku padamu membabi buta,viralditiktok,3100000,55500000,484700
566,original sound - CACIL🦋,viralditiktok,7700000,175600000,2700000
567,BANJAR KERAS. part2,viralditiktok,4900000,23100000,3000000
568,Wali Yank by Iyuz misterius,viralditiktok,1600000,34100000,363500
569,ameliahh versi sloww,viralditiktok,1600000,35800000,191300
570,ameliahh versi sloww,viralditiktok,1500000,21900000,162300
571,Aku Titipkan Koplo,viralditiktok,7300000,61100000,1400000
572,Goyang Ababil,viralditiktok,1900000,47500000,172900
573,Karna Rindu DJ Remix,viralditiktok,1800000,14200000,68600
574,ameliahh versi sloww,viralditiktok,4900000,23100000,225700
575,DJ GALA GALA X COPOT COPOT Raka Remixer Remix,viralditiktok,1400000,82300000,127400
576,Give love inkigayo Mc,viralditiktok,2800000,76900000,350300
577,DJ GALA GALA X COPOT COPOT Raka Remixer Remix,viralditiktok,6200000,100800000,6900000
578,edamame,viralditiktok,3600000,43700000,261200
579,Wali Yank by Iyuz misterius,viralditiktok,1100000,17200000,168500
580,suara asli - Marisha Chacha,viralditiktok,1800000,37400000,891100
581,beidou and uzuis wives supremacy,viralditiktok,1400000,82300000,179900
582,original sound - Marvin_Abendan,viralditiktok,1800000,14200000,73900
583,DJ Di Dunia Ini Full Beat ,viralditiktok,4100000,32100000,78100
584,Karna Rindu DJ Remix,viralditiktok,6200000,100800000,12800000
585,DJ GALA GALA X COPOT COPOT Raka Remixer Remix,viralditiktok,6100000,240800000,3500000
586,original sound - Marvin_Abendan,viralditiktok,2300000,56400000,381900
587,suara asli - AlumniPondok🙌,viralditiktok,10000000,331400000,7900000
588,STAY,viralditiktok,4700000,105100000,644300
589,suara asli - AlumniPondok🙌,viralditiktok,1800000,14200000,77300
590,Karna Rindu DJ Remix,viralditiktok,6100000,240800000,1500000
591,Ameliaaah,viralditiktok,10000000,331400000,2900000
592,Karna Rindu DJ Remix,viralditiktok,4100000,32100000,228200
593,Ameliaaah,viralditiktok,1500000,21900000,65900
594,Ameliaaah,viralditiktok,3600000,43700000,303300
595,original sound - Marvin_Abendan,viralditiktok,4300000,87000000,2800000
596,Ameliaaah,viralditiktok,5900000,131700000,582300
597,ib bub,viralditiktok,6100000,240800000,680900
598,Ameliaaah,viralditiktok,592200,28500000,240100
599,BANJAR KERAS. part2,viralditiktok,7300000,61100000,4000000
600,Give love inkigayo Mc,viralditiktok,457200,14900000,2400000
601,original sound - Marvin_Abendan,viralditiktok,14000,333700,177000
602,STAY,viralditiktok,127900,932500,459100
603,Karna Rindu DJ Remix,viralditiktok,4300000,87000000,5000000
604,ameliahh versi sloww,viralditiktok,922600,41100000,634400
605,BANJAR KERAS. part2,viralditiktok,2800000,76900000,404300
606,BANJAR KERAS. part2,viralditiktok,5900000,131700000,4700000
607,BANJAR KERAS. part2,viralditiktok,2300000,46200000,168200
608,edamame,viralditiktok,1500000,21900000,106900
609,edamame,viralditiktok,1800000,14200000,44400
610,original sound - Marvin_Abendan,viralditiktok,10000000,331400000,1600000
611,suara asli - AlumniPondok🙌,viralditiktok,10000000,257500000,2100000
612,Dahsyatnya Cintaku Remix,viralditiktok,8500000,104600000,1700000
613,JAMBANSLOMO DIDEPAN,viralditiktok,40200,570900,453400
614,original sound - Marvin_Abendan,viralditiktok,25500000,662600000,5900000
615,STAY,viralditiktok,942700,22000000,334800
616,STAY,viralditiktok,113400,2800000,160400
617,JEREEE Remix,viralditiktok,14000,333700,30800
618,Everywhereigo,viralditiktok,2400000,22000000,243600
619,Karna Rindu DJ Remix,viralditiktok,3100000,55500000,873600
620,original sound - Marvin_Abendan,viralditiktok,738700,24300000,695400
621,Karna Rindu DJ Remix,viralditiktok,10000000,257500000,1400000
622,original sound - Marvin_Abendan,viralditiktok,1200000,9300000,1300000
623,original sound - Marvin_Abendan,viralditiktok,1600000,10200000,283700
624,Dj BonBon Remix,viralditiktok,6500000,50300000,119100000
625,What Is Love,viralditiktok,1300000,14100000,47400000
626,DJ Tutu Nadi Como Remix,viralditiktok,6200000,100800000,39700000
627,What Is Love,viralditiktok,926300,61300000,15000000
628,What Is Love,viralditiktok,155900,3900000,22200000
629,Yamet Kudasi Cover,viralditiktok,4300000,87000000,40700000
630,What Is Love,viralditiktok,10800000,228900000,14400000
631,suara asli - TRI SUAKA REAL,viralditiktok,2700000,17000000,36900000
632,What Is Love,viralditiktok,289200,4400000,17300000
633,original sound - Aldif,peatboys,76400,2000000,964700
634,suara asli - EDIIY,peatboys,76400,2000000,883500
635,suara asli - Rian.A,peatboys,2302,70700,832900
636,original sound - S.M.S.G⚔️,peatboys,562800,11500000,657700
637,suara asli - memet real,peatboys,76400,2000000,1200000
638,DJ Toxic Friends Remix,peatboys,562800,11500000,522200
639,suara asli - 🌀WILFEXBOR🌀,peatboys,49900,988900,334300
640,Infinity,peatboys,76400,2000000,611500
641,Jalan Pargoy,peatboys,562800,11500000,649300
642,dj side to side gani gani x bale bale,peatboys,562800,11500000,546800
643,sonido original,paquito,2100000,31600000,4100000
644,suara asli - Soffia,paquito,71000,1400000,5900000
645,아씡꼬래정우사운드,paquito,4793,480900,4200000
646,เสียงต้นฉบับ - COCO SAMUI ASMR,paquito,3300000,52600000,3600000
647,original sound - Gaming Tyktok,paquito,36400,300900,2600000
648,original sound - ZenXu,paquito,67000,677700,3000000
649,suara asli - 🌀WILFEXBOR🌀,paquito,6108,331500,2100000
650,Oh gon Bunge Gum HxH OP,paquito,5928,228800,725400
651,DJ Indo im a ladies Type Beat,paquito,62500,873200,2800000
652,EMOTE PEDANG X JEDAG JEDUG AESTHETIC,kayes,133900,1400000,4500000
653,dandelions,kayes,103900,3000000,2100000
654,New DC 2021,kayes,1303,195800,2200000
655,Dj Cloud Bread Slow Beat Viral,kayes,153700,2000000,1200000
656,Jang Ganggu Cover,kayes,7677,439900,1100000
657,suara asli,kayes,4742,126500,1100000
658,suara asli - Aditya Zhidan343,kayes,3607,241700,874200
659,suara asli - Kombetz Doni 🤸,kayes,58900,1200000,1800000
660,DJ Gw Tau X Pambasilet,kayes,2675,105600,744500
661,suara asli - sty.kdx,kayes,165900,2800000,612900
662,DJ PAP PAPA CALON MANTU RAHMAT TAHALU,yourkayess,743000,8400000,4200000
663,suara asli - Youtube : GOPAL FF,yourkayess,743000,8400000,2100000
664,suara asli - a♡,yourkayess,743000,8400000,1200000
665,suara asli - Muhammad Rifa'i,yourkayess,743000,8400000,1100000
666,YT DJ TEBANG,yourkayess,743000,8400000,1100000
667,Dj Cloud Bread Slow Beat Viral,yourkayess,153700,2000000,1200000
668,DJ MILAKUO POKEMON,yourkayess,37300,670000,1100000
669,DJ YE YAMA YE YA,yourkayess,65600,320000,481000
670,BROETALLZ,yourkayess,743000,8400000,830900
671,50k,yourkayess,743000,8400000,715200
672,Dj Cloud Bread Slow Beat Viral,kaptenkayes🦋,153700,2000000,1200000
673,Cloud Bread,kaptenkayes🦋,153700,2000000,711400
674,DJ In Da Getto Montage X Side To Side Jungle Dutch,kaptenkayes🦋,18300,196400,438100
675,CIDRO 2_DJ Tatang AXL,kaptenkayes🦋,183800,2100000,253900
676,DJ In Da Getto Montage X Side To Side Jungle Dutch,kaptenkayes🦋,183800,2100000,303600
677,suara asli - 𝙆 𝙖 𝙞 𝙩 𝙤,kaptenkayes🦋,18300,196400,202700
678,tiban tiban mengkane,kaptenkayes🦋,2752,93000,196100
679,Я буду ебать,kaptenkayes🦋,12900,856300,303100
680,suara asli - sansky:v,kaptenkayes🦋,183800,2100000,145600
681,suara asli - Ars Junior 01,kaptenkayes🦋,183800,2100000,178900
682,EMOTE PEDANG X JEDAG JEDUG AESTHETIC,onicesport,158500,799900,6600000
683,Build a bitch - Bella Poarch,onicesport,50000,1800000,5400000
684,Build a bitch - Bella Poarch,onicesport,50000,1800000,3600000
685,suara asli - NCLLW🍭ⓕⓐⓝ🇮🇩シ,onicesport,240400,7700000,2400000
686,Pipo ♡,onicesport,13100,1100000,3400000
687,original sound,onicesport,9218,465900,2700000
688,nhạc nền - Chill Uot Lofi,onicesport,86400,4000000,3000000
689,original sound,onicesport,25700,1800000,1600000
690,Jedag Jedug (Preman),onicesport,378000,6200000,1400000
691,suara asli - GATAU GUA,onicesport,4338,922200,1600000
692,origineel geluid,foryoupage,3200000,46400000,287700000
693,suono originale,foryoupage,123300000,1900000000,237700000
694,Trap de Amarela,foryoupage,2800000,37600000,252900000
695,suono originale,foryoupage,123300000,1900000000,176400000
696,Love Story,foryoupage,5200000,62100000,183800000
697,Touch Down 2 Cause Hell,foryoupage,1900000,35100000,200200000
698,Such a Whore (Baddest Remix),foryoupage,2600000,26900000,279700000
699,original sound,foryoupage,6900000,314000000,169800000
700,original sound,foryoupage,4000000,38200000,318500000
701,original sound,nusantarahouse,3200000,81400000,12800000
702,original sound,nusantarahouse,6400000,144200000,2200000
703,DJ bhima ard,nusantarahouse,1500000,20500000,1600000
704,suara asli - PRODUK_CIKUYA_LEBAK✅,nusantarahouse,3200000,81400000,1400000
705,SIDE TO SIDE WILFEX BOR,nusantarahouse,3200000,81400000,1500000
706,bunyi asal - Marry Zean Tia,nusantarahouse,5000000,105300000,2200000
707,Pergi Pagi Pulang Pagi Remix,nusantarahouse,6400000,144200000,1100000
708,AKU GA CANTIK TAPI YANG IRI BANYAK,nusantarahouse,3200000,81400000,1100000
709,suara asli - RH OFFICIAL🇮🇩 II ɴᴛᴛ ᴘʀɪᴅᴇ,nusantarahouse,1500000,20500000,1200000
710,DJ bhima ard,nusantarahouse,3200000,81400000,1600000
711,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,153700,13800000,100400
712,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,198600,4600000,94100
713,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,851500,44300000,67000
714,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,2200000,39700000,85100
715,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,491500,30300000,66700
716,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,851400,18500000,24600
717,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,2000000,84800000,249400
718,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,307300,9200000,23600
719,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,59500,6900000,6201
720,OPPOA95PerformaAndalanmu,oppoa95performaandalanmu,34800,586900,4970
721,Hello Bright Skin,hellobrightskin,943300,67900000,137300
722,Hello Bright Skin,hellobrightskin,11700000,223100000,154900
723,Hello Bright Skin,hellobrightskin,1900000,9400000,181800
724,Hello Bright Skin,hellobrightskin,7100000,76500000,128700
725,Hello Bright Skin,hellobrightskin,5500000,80000000,107100
726,Hello Bright Skin,hellobrightskin,5500000,229700000,484400
727,Hello Bright Skin,hellobrightskin,16800,1100000,27200
728,Hello Bright Skin,hellobrightskin,22400,8227,14400
729,Hello Bright Skin,hellobrightskin,1770,14500,12900
730,Hello Bright Skin,hellobrightskin,1890,20500,9462
731,Reckless Madison Beer,gggaminggaguys,10700,207500,850500
732,suara asli - danu_artawan04,gggaminggaguys,24100,181600,432400
733,suara asli - momen YouTuber indo,gggaminggaguys,29500,1300000,584200
734,original sound - 愛JESILFIAN,gggaminggaguys,2131,51400,189200
735,original sound - Aldo disini🔥,gggaminggaguys,444500,10900000,431500
736,suara asli - momen YouTuber indo,gggaminggaguys,29500,1300000,417700
737,original sound - HaykalNiGenk☠,gggaminggaguys,97800,4200000,285500
738,original sound - Aldo disini🔥,gggaminggaguys,444500,10900000,385100
739,suara asli - MarkasBocilKematian,gggaminggaguys,26900,866500,191800
740,original sound - Aldo disini🔥,gggaminggaguys,444500,10900000,496500
741,suara asli - LutfiTzyy🪐🐣,katakbhizer,53400,682200,5500000
742,suara asli - Yo,katakbhizer,64900,665800,13600000
743,original sound - gamon y,katakbhizer,4406,356400,2100000
744,bunyi asal - 𝐈𝐉𝐔𝐋 𝐄𝐃𝐈𝐓𝐙,katakbhizer,167500,6200000,3200000
745,suara asli - cindayyyy11✨,katakbhizer,29100,259300,2000000
746,suara asli - Tox🔥👹,katakbhizer,4483,362100,1400000
747,suara asli - Ahee,katakbhizer,8725,362000,1200000
748,suara asli - harum namanyaa,katakbhizer,3481,518200,1800000
749,Ram pam pam pam oyeah,katakbhizer,28600,611500,1300000
750,original sound,katakbhizer,2342,202300,1700000
751,Super Idol - Remix,windahbasudara,5847,472200,3700000
752,original sound - RizkiDuar🌠,windahbasudara,14400,985200,4400000
753,Into Your Arms (feat. Ava Max),windahbasudara,1700000,65300000,3500000
754,Squid Game,windahbasudara,10600,541100,4000000
755,Orange 7,windahbasudara,1412,306500,1900000
756,original sound - Awvexel,windahbasudara,574500,10100000,2700000
757,Super Smash Bros Brawl Drill Remix,windahbasudara,36100,1500000,2500000
758,suara asli - Yareyare,windahbasudara,371700,12300000,1300000
759,Toxic by BoyWithUke,windahbasudara,14700,990900,1700000
760,Close Eyes,windahbasudara,12400,2300000,1700000
761,"Ninthalle Ninthukolle (From ""Case No 18/9"")",gg99,252800,5500000,49400000
762,original sound,gg99,98100,3000000,8800000
763,Mein,gg99,382500,4800000,21200000
764,original sound,gg99,115800,1900000,23300000
765,original sound,gg99,5600000,73000000,13200000
766,original sound - Paru Suresh,gg99,430700,7400000,6000000
767,______gm_____,gg99,83600,1200000,6300000
768,original sound,gg99,98100,3000000,4300000
769,AFZAL SALAHI,gg99,60300,1300000,8100000
770,original sound,sound,3400000,32600000,171700000
771,GET WATER OUT OF PHONE SPEAKERS,sound,112200,12300000,66700000
772,original sound,sound,1300000,24400000,44100000
773,bury a friend,sound,12800000,254900000,48400000
774,original sound - Mushir Khan,sound,1100000,12300000,84700000
775,Into The Thick Of It!,sound,2100000,86000000,26700000
776,original sound,sound,1900000,47800000,17700000
777,noah beck is my husband,sound,108400,5700000,14200000
778,Dinero,sound,125500,3900000,17300000
779,původní zvuk,sound,471000,13600000,35100000
780,original sound - armanrevo,presett,5098,294300,578900
781,sahabat tak akan pergi betrand x anneth,presett,5098,294300,546800
782,DJ LULO ELECTONE STYLE SLOW BASS,presett,6923,119500,238200
783,original sound - Hayatun Jumaini,presett,6923,119500,219000
784,badjcoooooottt,presett,6923,119500,145400
785,original sound,presett,38800,1300000,145200
786,Akhir Tak Bahagia,presett,5098,294300,120400
787,original sound - BKNS SG,presett,38800,1300000,98800
788,DJ GANI GANI SLOW BASS,presett,5770,178300,124900
789,original sound - Noraine.,presett,38800,1300000,101600
790,Oh No,xzybca,327200,9200000,58300000
791,original sound,xzybca,171000,9000000,35700000
792,original sound,xzybca,2800000,44100000,57100000
793,original sound - nanno_372,xzybca,394200,8100000,69400000
794,TE AMO FINOLAS,xzybca,193500,6000000,31700000
795,sofia by clario,xzybca,73800,5500000,26300000
796,eredeti hang,xzybca,106100,4700000,36400000
797,original sound,xzybca,124300,5300000,18600000
798,original sound,xzybca,177300,7700000,27200000
799,The Office,xzybca,1400000,56400000,20300000
800,Cloud Bread,lelepubg,18500,597000,547700
801,suara asli - Duta Sound Old • JR🗿✌️,lelepubg,5169,356000,1100000
802,suara asli - Dhika,lelepubg,20200,203100,604400
803,Cloud Bread,lelepubg,5533,136600,410900
804,suara asli - Raizer FF,lelepubg,2203,67700,479300
805,hargai aku Armada,lelepubg,24100,543400,330900
806,suara asli - DennX_04,lelepubg,155000,2200000,350000
807,suara asli - ラーマ ジ,lelepubg,18100,226500,294200
808,suara asli - Duta Sound Old • JR🗿✌️,lelepubg,18100,226500,286200
809,Dj Bagaikan Langit MengKane,lelepubg,18500,597000,213900
810,haruss izinnn kalo mau dipake,jedagjedug,505600,5700000,21200000
811,Listen To Me Now,jedagjedug,295300,7600000,16200000
812,original sound - Dyrroth Tiktok_Fan,jedagjedug,109900,3600000,10600000
813,izuma Kun aka kfy23,jedagjedug,505600,5700000,12000000
814,original sound - samuelfernandtio,jedagjedug,1400000,31200000,11600000
815,original sound - editor ff/ml,jedagjedug,295300,7600000,7300000
816,original sound - Duta Sound Old • JR🗿✌️,jedagjedug,505600,5700000,9600000
817,DJ Into Your Arms X Akimilaku By DJ Opus,jedagjedug,114200,2300000,7200000
818,Shinitai Chan,jedagjedug,130600,4100000,7400000
819,Wolfgang Dance,jedagjedug,59700,2000000,4300000
820,suara asli - ifdhalr.a,pubgmjinx,10000000,331400000,2100000
821,Pubg,pubgmjinx,1600000,46300000,387500
822,suara asli - FeyCc🎀,pubgmjinx,2500000,57200000,566900
823,suara asli - IRQ TikTok,pubgmjinx,1700000,24000000,357300
824,suara asli - Jans,pubgmjinx,1100000,14400000,252600
825,suara asli - Bellav  3M🤺,pubgmjinx,2700000,25100000,583700
826,Sneaky Snitch,pubgmjinx,2400000,44000000,961800
827,Paradise,pubgmjinx,2200000,36100000,453500
828,suara asli - 🌀WILFEXBOR🌀,squadlandud🐒,404200,5700000,1800000
829,Alasan Dirimu Remix,squadlandud🐒,404200,5700000,1100000
830,suara asli - Zerz`SoftBoy🤺,squadlandud🐒,46200,347700,642700
831,original sound - Anggun,squadlandud🐒,509700,12000000,556000
832,CINTA STADIUM AKHIR AF,squadlandud🐒,509700,12000000,470200
833,original sound - Dj HarrisNugraha,squadlandud🐒,509700,12000000,671000
834,DJ PREMINIM Dash Uciha DJ WISNU UGIL,squadlandud🐒,57300,1000000,537200
835,suara asli - 🌀WILFEXBOR🌀,squadlandud🐒,404200,5700000,603200
836,suara asli - 🌀WILFEXBOR🌀,squadlandud🐒,46200,347700,508600
837,DJ Karna Ko Deng Sa Sama Sama Bahagia,squadlandud🐒,404200,5700000,506300
838,nhạc nền - ☘️ BéLàQuân☘️ ✅,freefire,3000000,26700000,149000000
839,original sound - 🇵🇭random edit🇵🇭,freefire,322700,5500000,35100000
840,SI LO USAS ERES WAPO,freefire,4600000,58500000,34200000
841,Lily slowed,freefire,3300000,32900000,33700000
842,sonido original,freefire,5000000,54500000,33300000
843,sonido original,freefire,9900000,183700000,27200000
844,оригинальный звук,freefire,6300000,122600000,32800000
845,McWilliam621,freefire,508700,8300000,26100000
846,Dynamic Stage,freefire,1600000,13700000,36000000
847,sonido original,freefire,9900000,183700000,20400000
848,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,3200000,43700000,334900
849,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,2900000,59100000,87700
850,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,1300000,28800000,98800
851,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,1300000,38900000,172400
852,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,457200,14900000,55900
853,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,34,292,9436
854,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,24,227,8514
855,Keluarga Sehat Indonesia Kuat,keluargasehatindonesiakuat,15,138,6454
856,오리지널 사운드 - 원정맨 WonJeong,xyzbca,36600000,963200000,168400000
857,오리지널 사운드 - 원정맨 WonJeong,xyzbca,36600000,963200000,161300000
858,오리지널 사운드 - 원정맨 WonJeong,xyzbca,36600000,963200000,180100000
859,.....Wiii,xyzbca,4600000,79800000,209000000
860,See You Again (Piano Arrangement),xyzbca,16200000,196200000,125100000
861,오리지널 사운드 - 원정맨,xyzbca,36600000,963200000,145900000
862,bed time,xyzbca,1900000,44100000,100000000
863,original sound,xyzbca,1700000,17800000,150700000
864,original sound - ᴊ ᴍ ᴋ ᴏ,xyzbca,1600000,33900000,110200000
865,dudada dudada,xyzbca,3400000,44600000,129800000
866,Godzilla!,mainsukasuka,22100,631100,28700
867,Fluffing a Duck,mainsukasuka,22100,631100,6423
868,original sound - Devriandi,mainsukasuka,1197,6691,497
869,original sound - DCC,mainsukasuka,42600,940800,21500
870,original sound - Izzat Højbjerg,mainsukasuka,12200,75100,5507
871,bunyi asal,mainsukasuka,791,2990,924
872,Drift Phonk Type Beat,mainsukasuka,791,2990,538
873,아무노래,mainsukasuka,22100,631100,2765
874,Duy Anh Nhái Superidol kiểu,btsanjing,61700,2000000,18900000
875,original sound - Lebai Alfonso,btsanjing,19400,2300000,8700000
876,оригинальный звук,btsanjing,21400,879100,3200000
877,sonido original,btsanjing,47000,1300000,3400000
878,оригинальный звук,btsanjing,6135,272000,2100000
879,original sound - ho(p)e ni nagito,btsanjing,130700,3500000,4300000
880,sonido original,btsanjing,47000,1300000,1900000
881,suara asli,btsanjing,11000,219100,2800000
882,manjiro national anthem,btsanjing,4027,281200,867200
883,suara asli,btsanjing,8436,177800,2100000
884,suara asli - Rizkybkr2_,bokirsasmita,851600,9600000,2100000
885,suara asli - sahabatkuberubahkarnafisikku,bokirsasmita,22500,482500,2300000
886,suara asli - suka mas natta<3,bokirsasmita,30100,514700,1400000
887,suara asli - Duta Sound old🗿🤙,bokirsasmita,60500,1600000,757800
888,original sound - syanandra nailah,bokirsasmita,7816,533300,842200
889,suara asli - SailaCaa225,bokirsasmita,30100,1100000,905700
890,duit mana duit,bokirsasmita,7947,112700,989000
